epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,29.6531,1.3922,0.72556,1,0.71083,0.08416,0.00016,0.00016
2,58.2815,0.63774,0.94737,1,0.17988,0.0673235,0.000323466,0.000323466
3,86.5486,0.20551,0.98496,1,0.04293,0.0504802,0.0004802,0.0004802
4,114.126,0.13391,0.98496,0.99624,0.04199,0.0336302,0.000630202,0.000630202
5,141.452,0.13745,0.99248,1,0.04201,0.0167735,0.000773472,0.000773472
6,168.643,0.11275,0.98496,1,0.05534,0.000901,0.000901,0.000901
7,196.015,0.15001,0.98872,1,0.03994,0.0008812,0.0008812,0.0008812
8,223.156,0.13429,0.9812,1,0.05043,0.0008614,0.0008614,0.0008614
9,250.248,0.08955,0.98496,1,0.03644,0.0008416,0.0008416,0.0008416
10,277.222,0.11342,0.99248,1,0.00939,0.0008218,0.0008218,0.0008218
11,304.473,0.09404,0.98872,1,0.01819,0.000802,0.000802,0.000802
12,332.659,0.09954,0.99248,1,0.0268,0.0007822,0.0007822,0.0007822
13,360.326,0.09622,0.99624,1,0.01293,0.0007624,0.0007624,0.0007624
14,387.902,0.09558,0.99624,1,0.00954,0.0007426,0.0007426,0.0007426
15,415.268,0.13573,0.99624,1,0.01065,0.0007228,0.0007228,0.0007228
16,442.763,0.05992,1,1,0.01816,0.000703,0.000703,0.000703
17,469.832,0.07161,0.98872,1,0.01896,0.0006832,0.0006832,0.0006832
18,497.514,0.06115,0.99248,1,0.01796,0.0006634,0.0006634,0.0006634
19,524.665,0.05275,0.99248,1,0.02544,0.0006436,0.0006436,0.0006436
20,591.56,0.0725,0.99624,1,0.01065,0.0006238,0.0006238,0.0006238
21,659.878,0.11089,0.99624,1,0.04731,0.000604,0.000604,0.000604
22,689.231,0.06857,0.99248,1,0.02269,0.0005842,0.0005842,0.0005842
23,713.164,0.06105,1,1,0.00267,0.0005644,0.0005644,0.0005644
24,736.977,0.06062,0.99624,1,0.0099,0.0005446,0.0005446,0.0005446
25,762.593,0.03656,0.98872,1,0.01641,0.0005248,0.0005248,0.0005248
26,788.302,0.05542,1,1,0.00421,0.000505,0.000505,0.000505
27,813.594,0.04996,1,1,0.00105,0.0004852,0.0004852,0.0004852
28,839.064,0.04358,1,1,0.00128,0.0004654,0.0004654,0.0004654
29,864.854,0.03638,1,1,0.00078,0.0004456,0.0004456,0.0004456
30,890.384,0.03915,1,1,0.00085,0.0004258,0.0004258,0.0004258
31,916.266,0.05839,1,1,0.00308,0.000406,0.000406,0.000406
32,943.451,0.03329,0.98872,1,0.01359,0.0003862,0.0003862,0.0003862
33,969.981,0.06242,1,1,0.00435,0.0003664,0.0003664,0.0003664
34,996.201,0.03943,1,1,0.00328,0.0003466,0.0003466,0.0003466
35,1022.01,0.05159,1,1,0.003,0.0003268,0.0003268,0.0003268
36,1047.74,0.03675,1,1,0.00187,0.000307,0.000307,0.000307
37,1072.75,0.03784,1,1,0.00581,0.0002872,0.0002872,0.0002872
38,1098.17,0.04131,1,1,0.00331,0.0002674,0.0002674,0.0002674
39,1123.41,0.05131,1,1,0.00877,0.0002476,0.0002476,0.0002476
40,1148.68,0.03868,1,1,0.00299,0.0002278,0.0002278,0.0002278
41,1174.32,0.02818,1,1,0.00194,0.000208,0.000208,0.000208
42,1199.81,0.03519,1,1,0.00135,0.0001882,0.0001882,0.0001882
43,1226.93,0.03071,1,1,0.00501,0.0001684,0.0001684,0.0001684
44,1250.9,0.03171,1,1,0.00557,0.0001486,0.0001486,0.0001486
45,1275.13,0.03279,1,1,0.00442,0.0001288,0.0001288,0.0001288
46,1299.6,0.02115,1,1,0.00297,0.000109,0.000109,0.000109
47,1323.79,0.0402,1,1,0.00227,8.92e-05,8.92e-05,8.92e-05
48,1348.16,0.01865,1,1,0.00424,6.94e-05,6.94e-05,6.94e-05
49,1372.22,0.04255,1,1,0.00384,4.96e-05,4.96e-05,4.96e-05
50,1396.31,0.01752,1,1,0.0036,2.98e-05,2.98e-05,2.98e-05
